Order ID,Client Username,Taxi ID,Start Location,End Location,Start Time,End Time,Journey Time,Length Distance,Price,Total Amount,Order Status
3000,anhlai,2006,Dong Da,Thanh Xuan,01/06/2021 11:40:02,01/06/2021 11:40:10,8,4,10000,40000,3
3001,anhlai,2009,Hoan Kiem,Ha Dong,13/06/2021 11:40:41,13/06/2021 11:41:01,20,10,10000,100000,3
3002,huyhoang,2002,Hai Ba Trung,Hoan Kiem,13/06/2021 11:47:01,13/06/2021 11:47:13,12,6,10000,0,1
3003,huyhoang,2009,Thanh Xuan,Cau Giay,13/06/2021 11:47:35,13/06/2021 11:47:53,18,9,10000,0,1
3004,chiennguyen,2010,Thanh Xuan,Dong Da,13/06/2021 11:52:39,13/06/2021 11:52:47,8,4,10000,40000,3
3005,chiennguyen,2010,Hoan Kiem,Hai Ba Trung,13/06/2021 11:54:59,13/06/2021 11:55:11,12,6,10000,60000,3
3006,anhlai,2013,Nam Tu Liem,Long Bien,13/06/2021 13:15:30,13/06/2021 13:16:02,32,16,10000,0,0
3007,anhlai,2009,Ha Dong,Bac Tu Liem,13/06/2021 13:28:20,13/06/2021 13:28:36,16,8,10000,80000,3
3008,anhlai,2007,Hoang Mai,Hai Ba Trung,13/06/2021 13:34:47,13/06/2021 13:34:59,12,6,10000,60000,3
3009,anhlai,2010,Thanh Xuan,Dong Da,13/06/2021 13:38:07,13/06/2021 13:38:15,8,4,10000,0,1
3010,anhlai,2010,Ha Dong,Thanh Xuan,13/06/2021 13:38:30,13/06/2021 13:38:36,6,3,10000,30000,3
